SKU,EAN,"OLD EAN",stock
KF23201,0732064575025,0732064575025,0
KF23202,0732064575018,0732064575018,0
KF23203,0732064575001,0732064575001,0
KF23204,0732064574998,0732064574998,0
KF23205,0732064574981,0732064574981,0
KF23206,0732064574974,0732064574974,0
KF23207,0732064574967,0732064574967,0
KF23208,0732064574950,0732064574950,0
KF23209,0732064574943,0732064574943,0
KF23210,0732064574936,0732064574936,0
KF23211,0732064574929,0732064574929,0
KF23212,0732064574912,0732064574912,0
KF23213,0732064574905,0732064574905,0
KF23214,0732064574899,0732064574899,0
KF23215,0732064574882,0732064574882,0
KF23216,0732064574875,0732064574875,0
KF23217,0732064573519,0732064573519,0
KF23218,0732064574851,0732064574851,0
KF23219,0732064574844,0732064574844,0
KF23220,0732064574837,0732064574837,0
KF23221,0732064574820,0732064574820,0
KF231689,0732064574813,0732064574813,0
KF23222,0732064574806,0732064574806,0
KF23223,0732064574790,0732064574790,0
KF23224,0732064574783,0732064574783,0
KF23225,0732064574776,0732064574776,0
KF23226,0732064574769,0732064574769,0
KF23227,0732064574752,0732064574752,0
KF23228,0732064574745,0732064574745,0
KF23229,0732064574738,0732064574738,0
KF23230,0732064574721,0732064574721,0
KF23231,0732064574714,0732064574714,0
KF23232,0732064574707,0732064574707,0
KF23233,0732064574691,0732064574691,0
KF23234,0732064574684,0732064574684,0
KF23235,0732064574677,0732064574677,0
KF23236,0732064574660,0732064574660,0
KF23237,0732064574653,0732064574653,0
KF23238,0732064574646,0732064574646,0
KF23239,0732064574639,0732064574639,0
KF23240,0732064574622,0732064574622,0
KF23241,0732064574608,0732064574608,0
KF23242,0732064574592,0732064574592,0
KF23243,0732064574585,0732064574585,0
KF23244,0732064574578,0732064574578,0
KF231690,0732064574561,0732064574561,0
KF23245,0732064574554,0732064574554,0
KF23246,0732064574547,0732064574547,0
KF23247,0732064574530,0732064574530,0
KF23248,0732064574523,0732064574523,0
KF23249,0732064574516,0732064574516,0
KF23250,0732064574509,0732064574509,0
KF23251,0732064574493,0732064574493,0
KF23252,0732064574486,0732064574486,0
KF23253,0732064574479,0732064574479,0
KF23254,0732064574462,0732064574462,0
KF23255,0732064574455,0732064574455,0
KF23256,0732064574448,0732064574448,0
KF23257,0732064574431,0732064574431,0
KF23258,0732064574424,0732064574424,0
KF23259,0732064574417,0732064574417,0
KF23260,0732064574400,0732064574400,0
KF23261,0732064574394,0732064574394,0
KF23262,0732064574387,0732064574387,0
